id,content,label
0,جرائم الدعم السريع في الفاشر، لا تنسوا اخوانكم في السودان,neutral
1,يتفق العرب على الاختلاف,neutral
2,انسانية وطيبة الرجل الابيض,neutral
3,دار ابتلاء وامتحان والله العظيم,neutral
4,نسبة السلالة العربية في الشرق الأوسط.,neutral
5,وين أقدر ألقى خدمات ترويج رخيصة للتعليقات والمشاهدات على إنستغرام؟,neutral
6,اكثر دولدولة عربية قريبة لقلبكم و السبب؟,neutral
7,بتمنى أنساك بصوت الجاز,neutral
8,هل نريد التخلص من اليهود؟,neutral
9,هل تتزوج من جنسية غير جنسيتك؟,neutral
10,اعلم ان العالم مكان غير عادل..لكن لعنة الدم ستطارد كل القتلة و داعميهم..ف لعنة الدماء لا تسقط بالتقادم,neutral
11,هل يتذكر أحدكم هذا المسلسل التلفزيوني؟,neutral
12,مصري جرب يشاهد وثائقي الحرب الأهلية اللبنانية,neutral
13,احد يشرح لي ليش الدعم السريع يسوي مجازر؟,neutral
14,للمهتمين بالفلسفة حوار حول فكر د.طه عبد الرحمن,neutral
15,تكلموا عن الفاشر,neutral
"16,""مرحبا, اريد كتاب يشرح ويسهل شعر المتنبي, شكرا مقدما."",neutral"
17,الناس الي كانو يغيبون كثير بالمدرسه، وينكم الحين؟,neutral
18,بكبسة زر واحدة، يمكن لصوتك أن يصل إلى مئات أعضاء البرلمانات حول العالم.,neutral
"19,"", , ! !شعب عربي واحد"",neutral"
20,صدقا حزين على حالنا,neutral
"21,""لكي لا ننسى ماذا فعل محور الممانعة من الأسد وإيران وحزب الله بالفلسطينيين في سوريا ,"",neutral"
22,فكر الوحدة العربية ماهي أسباب الفشل ؟,neutral
23,اسألني اي اشي بعدها عدل السؤال وخلي شكلي يطلع بيخزي,neutral
24,ما في شي أوسع من غرفة مظلمة,neutral
25,اطلاق سراح المجرم العراقي محمد العيساوي بواسطة المسؤول فالح الخزعلي الي قتل أبنته بحجة الشرف,neutral
26,ما هي الدول التي يعتبرها العرب أمومية؟,neutral
27,اتوقع اختبار من الله لكن فشلت فيه,neutral
28,اريد موقع لمشاهده الانمي مدبلج باللغه الانجليزيه والترجمه العربيه,neutral
29,هل مرّ أحدكم بتجربة شعر فيها أن الألم كان بوابة لفهم أعمق للحياة؟,neutral
30,وش احلا دولة سافرتوها؟,neutral
31,زوجي يفضل الاباحيات!,neutral
32,هدية لكل شباب العرف و فلسطين حرة,neutral
33,البيتكوين داخل منطقة حساسة والسوق يترقب,neutral
34,عايز كتاب الدماغ والوعى اسس البرمجة الذهنية فى العلاج النفسى للدكتور فوزى عبد الرحمن,neutral
35,كتاب ذكريات الطفولة,neutral
36,عايز اعمل مادة علمية عن برمجة العقل هل حد يقدر يساعدنى فى مصادر,neutral
37,فكرة نادي بحث في المواضيع المبهمة للعامة,neutral
38,هل سأمت من عدم علو المسلمين فى المجالات العلميه و التكنولوجيه اذ كنت كذالك فشارك,neutral
39,أشعر وكأن هناك حصى أو رمل في الجبس بعد اسبوع من وضعه هل هذا طبيعي؟,neutral
40,تذاكر حفل ترافس سكوت في ابو ضبي,neutral
41,سلام عليكم اني صانع محتوى ماعندي متابعين اهواي الي يحب يدعم هذا اسن قناتي باليوتيوب وسكلهة يصير شكل ولد كارتوني لابس جيشي اني العب واهواي العاب,neutral
42,كيف تتجاوز شخص اختفى من حياتك فجأة، بدون وداع، بدون أي تفسير؟,neutral
43,محتاج حل لان مشكلتي صارت فوق طاقتي,neutral
44,هل هنا من يعشق فن التسويق مثلي؟ لنتواصل ونتبادل الأفكار!,neutral
45,تعليم العربية الفصحى للاطفال,neutral
46,لا تقدم نفسك كبائع ، بل قدم نفسك كـ بوليصة تأمين ضد المشاكل والقلق.,anxiety
47,أبحث عن قصة فصلية من العراق على صفحات قصص الفيسبوك من مدينة السماوة. اسم الشخصيتين يوسف ونجمة,neutral
48,التعنصر ضد مستخدمين و غيره من الذكاء الاصطناعي كا محادثه طبيعيه,neutral
