Id,content,Label
1,الله يبارك انشاء الله مبروك,Happiness
2,برافو عليك فديواتك يقتلو بضحك,Happiness
3,يعيشك ❤ امان حلقة علي بسكلات,Happiness
"4,""just i want a family like this thanks for make me happy . The content you provide is very good, keep making videos like this.i hope to you all the best 🥰😍.وربي يخليكم لبعضكم و ربي يفضلكم❤"",Happiness"
5,احلى عائلة ما شاء الله,Happiness
"6,""ما شاء الله ، ربي يحميكم و يحفظكم محلاكم .. انتوما وين في المانيا ، خلي نعملو لمة هبة و البنوتات و متابعيها ❤❤❤"",Happiness"
7,سلام عملتلك ابوني  نجوى من فرنسا مقيمة في حدود سويسرا,Neutral
8,شاركينا كيفاه رحتي لألمانيا من فضلك,Neutral
9,ما شاء الله ربي يحفضكم ❤️❤️❤️,Happiness
10,17:33 ما شاء الله تبارك الرحمن هذيا الدنيا مانا الجنة كيف ربي يرزقنا الفردوس الأعلى من الجنة بدون حساب ولا سابق عذاب 🤲🏼🤍,Happiness
11,اختي معاش تعمل الموسيقى باش نجموا نتفرجوا و احنا عاملين جو معاك و من غير ذنوب ربي يبارك فيك ❤,Neutral
12,ما شاء الله عليكم. اول مرة اتابعكم و اكيد موش اخر مرة. فيديو رائع ربي يحفظكم. Bonne cotnuation,Happiness
"13,""ان شاءالله دائما متألقين و أحسنتم إختيار البلد فعلا سويسرا رائعة،و ربي يهنيكم و الله يباركلكم في البنات،Bravo🎉🎉🎉"",Happiness"
14,لقد هرمنا من اجل هذا الvlog عنا قريب الشهر نستناو ههه أجواء عالمية ما شاء الله ربي يحفظكم و بربي ما عادش تبطاو علينا ...💕,Happiness
"15,""مشاء الله الله يحفظكم عاد جيت من نفس المخيم ، هد المخيم نضيف بزاف أو انشاء الله غادي ندي ليه عائلتي لأنو يستاهل التخييم فيه. بالتوفيق والله يحفظ ليكم الوليدات"",Happiness"
16,❤❤❤ما شاء الله ربي يحفظكم,Happiness
17,ما شاء الله على بنت بلادي ربي يحفظكم❤,Happiness
18,يعطيكم الصحة 👍محلاكم خدمة تحفونه بالتوفيق ان شاءالله ❤❤❤,Happiness
19,مبروك عليك❤❤,Happiness
20,ربي يخليك خويا محلاكم لكن ماتتكلموش في الطوالات خاتر الملاءكة تلعنكم لأنها تضطر تدخل الطوالات باش تفيد كلامكم اقوالكم,Neutral
21,ههه والله يعطيك الصحة,Happiness
22,ما شاء الله عليك يا اختي حلومة نتعلم منك ويعطيك وسع البال ويخليلك اولادك❤🎉😊,Happiness
23,ما احلاها لوخية ربي ايفظلها وصحة التبحيرة حلومة أنا اسالتك على أكاديمية امتاع محمد بربي فين وتقري فرنسية و رياضيات نحب نقري ولدي جاوبني ايعيشك 😊😊😊,Happiness
24,🌹♥♥🌹♥♥🌹🤲🤲🤲 صباح الخير صباح الخير احلام اللهم امين يا رب ما شاء الله تبارك الله الله يبارك فيك الله يحفظك يا رب والله يحفظ كل العائله ما شاء الله ما شاء الله الله يحميكم يا رب,Happiness
25,صحة حلومة اما بربي وين البلاصة في سوسة,Neutral
26,ما شاء الله على زيزو ربي يحفظ و تفرح بيه و باخوات❤❤❤,Happiness
27,صباح النور يا حلومة انت علاش ما تعملي استديو فوق السطح ما شاء الله محمد ما زال يكبر و يوصل الباك ان شاء الله و جيوه اصحابو يبدأ مستقل علي روحو خير مجرد رأي رببي يعينك و صحة التبحبيحة لولداتي,Neutral
28,فما حاجة وراك,Neutral
