id,content,label,cleaned_length
0,جريمة دعم سريع الفاشر تنسى اخوانكمي سودان,neutral,41
1,اتفق عرب اختلاف,neutral,15
2,إنساني وطيب رجل أبيض,neutral,20
3,دار ابتلاء امتحان اللٰه عظيم,neutral,28
4,نسبة سلالة عربي شرق أوسط,neutral,24
5,ين أقدر ألقى خدمة ترويج رخيص تعليق مشاهدة إنستغرام,neutral,50
6,أكثر دولدولة عربي قريب قلب هو سبب,neutral,33
7,منى أنساك بصوت جاز,neutral,18
8,هل أراد تخلص يهودي,neutral,18
9,هل تزوج جنسية غير جنسي,neutral,22
10,أعلم أن عالم مكان غير عادل عنة دم طارد قاتل داعمي هو عنة دم سقط تقادم,neutral,69
11,هل تذكر أحدكم مسلسل تلفزيوني,neutral,28
12,مصري جرب شاهد ثائقي حرب أهلي لبناني,neutral,35
13,احد شرح لي ليش دعم سريع سوى مجزرة,neutral,33
14,مهتم فلسفة حوار حول فكر .ط عبد الرحمن,neutral,37
15,كلم الفاشر,neutral,10
17,إنسان الي كان غيب كثير مدرس نكم حين,neutral,35
18,كبسة زر واحد أمكن صوة وصل مئة عضو برلمان حول عالم,neutral,49
20,صدق حزين حالنا,neutral,14
22,فكر وحدة عربي ماهي سبب فشل,neutral,26
23,اسألني أي اشي بعد هو عدل سؤال خلي شكل أطلع بيخزي,neutral,48
24,شي أوسع غرفة مظلم,neutral,17
25,إطلاق سراح مجرم عراقي محمد العيساوي سطاط مسؤول الح الخزعلي الي قتل أبنت حجة شرف,neutral,79
26,دولة اعتبر هو عرب أمومي,neutral,23
27,اتوقع اختبار اللٰه فشل,neutral,22
28,اريد موقع مشهد نمي مدبلج اللٰه إنجليزي الترجم العربيه,neutral,53
29,هل مر أحدك تجربة شعر هو ألم وابة هو أعمق حياة,neutral,45
30,وش احلا دولة أفر هو,neutral,19
31,زوجي فضل إباحات,neutral,15
32,هدية شب عرف فلسطين حر,neutral,21
33,البيتكوين داخل منطقة حساس سوق ترقب,neutral,34
